1000,54:24.6,Ch0,37248,1.882059968,Ch1,40832,2.04964065,Ch2,32384,1.627466239,Ch3,30848,1.546898604,Ch4,41088,2.068976883,Correct
1001,54:25.6,Ch0,37440,1.878837263,Ch1,40832,2.052863355,Ch2,32512,1.63391165,Ch3,30784,1.553344015,Ch4,41152,2.072199588,Correct
1002,54:26.7,Ch0,37440,1.885282673,Ch1,40832,2.052863355,Ch2,32576,1.640357061,Ch3,30976,1.55656672,Ch4,41152,2.072199588,Correct
1003,54:27.8,Ch0,37376,1.891728084,Ch1,40704,2.04964065,Ch2,32512,1.637134356,Ch3,30912,1.559789425,Ch4,41216,2.072199588,Correct
1004,54:28.8,Ch0,37440,1.885282673,Ch1,40640,2.043195239,Ch2,32576,1.637134356,Ch3,31040,1.55656672,Ch4,41280,2.072199588,Correct
1005,54:29.9,Ch0,37504,1.878837263,Ch1,40704,2.04964065,Ch2,32640,1.646802472,Ch3,31040,1.559789425,Ch4,41024,2.059308766,Correct
1006,54:31.0,Ch0,37632,1.888505379,Ch1,40832,2.056086061,Ch2,31936,1.608130007,Ch3,31104,1.569457542,Ch4,40960,2.065754177,Correct
1007,54:32.1,Ch0,37632,1.898173495,Ch1,40704,2.046417945,Ch2,31744,1.595239185,Ch3,31040,1.566234836,Ch4,41088,2.068976883,Correct
1008,54:33.1,Ch0,37696,1.89495079,Ch1,40768,2.056086061,Ch2,31296,1.569457542,Ch3,30976,1.563012131,Ch4,40960,2.062531472,Correct
1009,54:34.2,Ch0,35712,1.798269627,Ch1,38976,1.965850309,Ch2,32256,1.627466239,Ch3,30720,1.550121309,Ch4,41472,2.08509041,Correct
1010,54:35.3,Ch0,37184,1.872391852,Ch1,40256,2.027081712,Ch2,30976,1.55656672,Ch3,31232,1.569457542,Ch4,40256,2.020636301,Correct
1011,54:36.4,Ch0,37440,1.882059968,Ch1,40384,2.033527123,Ch2,30976,1.559789425,Ch3,31360,1.579125658,Ch4,40448,2.043195239,Correct
1012,54:37.4,Ch0,37504,1.885282673,Ch1,40448,2.033527123,Ch2,30976,1.563012131,Ch3,31232,1.572680247,Ch4,40576,2.039972534,Correct
1013,54:38.5,Ch0,37568,1.888505379,Ch1,40320,2.033527123,Ch2,30976,1.55656672,Ch3,31232,1.575902953,Ch4,40512,2.043195239,Correct
1014,54:39.6,Ch0,37632,1.885282673,Ch1,40448,2.033527123,Ch2,30976,1.559789425,Ch3,31360,1.582348363,Ch4,40640,2.046417945,Correct
1015,54:40.7,Ch0,37568,1.888505379,Ch1,40384,2.033527123,Ch2,31040,1.559789425,Ch3,31488,1.582348363,Ch4,40640,2.043195239,Correct
1016,54:41.7,Ch0,37632,1.891728084,Ch1,40448,2.039972534,Ch2,30912,1.559789425,Ch3,31104,1.569457542,Ch4,40512,2.039972534,Correct
1017,54:42.8,Ch0,37568,1.885282673,Ch1,40448,2.04964065,Ch2,31104,1.566234836,Ch3,31360,1.575902953,Ch4,40640,2.046417945,Correct
1018,54:43.9,Ch0,37504,1.885282673,Ch1,40576,2.036749828,Ch2,31040,1.569457542,Ch3,31296,1.572680247,Ch4,40640,2.04964065,Correct
1019,54:44.9,Ch0,37376,1.891728084,Ch1,40640,2.039972534,Ch2,31168,1.569457542,Ch3,31360,1.579125658,Ch4,40960,2.068976883,Correct
1020,54:46.0,Ch0,37504,1.882059968,Ch1,40704,2.04964065,Ch2,31296,1.572680247,Ch3,31360,1.582348363,Ch4,41152,2.075422293,Correct
1021,54:47.1,Ch0,37568,1.888505379,Ch1,40640,2.039972534,Ch2,31360,1.575902953,Ch3,31296,1.572680247,Ch4,40640,2.046417945,Correct
1022,54:48.2,Ch0,37632,1.89495079,Ch1,40512,2.043195239,Ch2,31680,1.601684596,Ch3,31168,1.572680247,Ch4,40704,2.04964065,Correct
1023,54:49.2,Ch0,37568,1.898173495,Ch1,40576,2.043195239,Ch2,31424,1.579125658,Ch3,30976,1.566234836,Ch4,40960,2.059308766,Correct
1024,54:50.3,Ch0,37760,1.898173495,Ch1,40448,2.039972534,Ch2,31104,1.569457542,Ch3,31168,1.569457542,Ch4,40768,2.056086061,Correct
1025,54:51.4,Ch0,37760,1.898173495,Ch1,40512,2.039972534,Ch2,31232,1.575902953,Ch3,31296,1.572680247,Ch4,40896,2.056086061,Correct
1026,54:52.4,Ch0,37632,1.89495079,Ch1,40576,2.036749828,Ch2,31232,1.579125658,Ch3,31296,1.575902953,Ch4,40960,2.059308766,Correct
1027,54:53.5,Ch0,37760,1.901396201,Ch1,40448,2.039972534,Ch2,31360,1.579125658,Ch3,31360,1.579125658,Ch4,40960,2.062531472,Correct
1028,54:54.6,Ch0,37696,1.901396201,Ch1,40512,2.046417945,Ch2,31424,1.575902953,Ch3,31360,1.582348363,Ch4,40960,2.062531472,Correct
1029,54:55.7,Ch0,37760,1.901396201,Ch1,40512,2.039972534,Ch2,31296,1.579125658,Ch3,31360,1.582348363,Ch4,41024,2.062531472,Correct
1030,54:56.7,Ch0,37824,1.901396201,Ch1,40576,2.043195239,Ch2,31360,1.579125658,Ch3,31488,1.582348363,Ch4,40960,2.065754177,Correct
1031,54:57.8,Ch0,37760,1.904618906,Ch1,40448,2.043195239,Ch2,31296,1.575902953,Ch3,31424,1.585571069,Ch4,41088,2.065754177,Correct
1032,54:58.9,Ch0,37696,1.904618906,Ch1,40576,2.039972534,Ch2,31168,1.569457542,Ch3,31488,1.585571069,Ch4,40960,2.062531472,Correct
